Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:03:00,7.586148E-02,2.085189E+03,3.438281E-01,3.744286E+03,5.159697E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.580709E+03,2.270207E-01,2.462944E+03,3.656249E+03,1.688811E-01,7.064631E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.376967E+02,1.444392E-01,1.570106E+03,2.297309E+03,1.000287E-01,4.186374E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.580709E+03,2.219251E-01,2.406048E+03,3.600028E+03,1.690013E-01,7.068125E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.376967E+02,1.647401E-01,1.796774E+03,2.540490E+03,1.009143E-01,4.212085E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:06:00,7.586148E-02,2.087316E+03,3.436537E-01,3.740212E+03,5.155476E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.582321E+03,2.265406E-01,2.455971E+03,3.648763E+03,1.688683E-01,7.064260E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.386531E+02,1.441040E-01,1.565408E+03,2.292273E+03,1.000217E-01,4.186172E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.582321E+03,2.214540E-01,2.399176E+03,3.592624E+03,1.689886E-01,7.067758E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.386531E+02,1.642382E-01,1.790214E+03,2.533532E+03,1.009074E-01,4.211884E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:09:00,7.586148E-02,2.089443E+03,3.434799E-01,3.736145E+03,5.151260E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.583933E+03,2.260646E-01,2.449044E+03,3.641326E+03,1.688556E-01,7.063890E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.396095E+02,1.437713E-01,1.560737E+03,2.287267E+03,1.000148E-01,4.185970E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.583933E+03,2.209868E-01,2.392347E+03,3.585268E+03,1.689760E-01,7.067392E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.396095E+02,1.637400E-01,1.783695E+03,2.526616E+03,1.009005E-01,4.211683E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:12:00,7.586148E-02,2.091570E+03,3.433068E-01,3.732085E+03,5.147053E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.585545E+03,2.255927E-01,2.442163E+03,3.633942E+03,1.688428E-01,7.063520E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.405659E+02,1.434412E-01,1.556095E+03,2.282293E+03,1.000078E-01,4.185768E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.585545E+03,2.205237E-01,2.385564E+03,3.577963E+03,1.689635E-01,7.067027E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.405659E+02,1.632459E-01,1.777222E+03,2.519746E+03,1.008936E-01,4.211483E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:15:00,7.586148E-02,2.093697E+03,3.431343E-01,3.728032E+03,5.142851E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.587158E+03,2.251251E-01,2.435330E+03,3.626610E+03,1.688302E-01,7.063152E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.415223E+02,1.431137E-01,1.551482E+03,2.277350E+03,1.000009E-01,4.185567E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.587158E+03,2.200646E-01,2.378825E+03,3.570707E+03,1.689509E-01,7.066663E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.415223E+02,1.627561E-01,1.770797E+03,2.512927E+03,1.008867E-01,4.211283E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:18:00,7.586148E-02,2.095823E+03,3.429624E-01,3.723986E+03,5.138657E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.588770E+03,2.246618E-01,2.428545E+03,3.619331E+03,1.688175E-01,7.062785E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.424788E+02,1.427889E-01,1.546898E+03,2.272440E+03,9.999400E-02,4.185367E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.588770E+03,2.196096E-01,2.372133E+03,3.563503E+03,1.689384E-01,7.066299E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.424788E+02,1.622708E-01,1.764421E+03,2.506159E+03,1.008798E-01,4.211084E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:21:00,7.586148E-02,2.097950E+03,3.428039E-01,3.720090E+03,5.134636E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.590382E+03,2.242061E-01,2.421844E+03,3.612153E+03,1.688178E-01,7.062794E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.434352E+02,1.424681E-01,1.542361E+03,2.267583E+03,9.999419E-02,4.185372E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.590382E+03,2.191629E-01,2.365533E+03,3.556411E+03,1.689387E-01,7.066309E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.434352E+02,1.617917E-01,1.758116E+03,2.499470E+03,1.008800E-01,4.211089E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:24:00,7.586148E-02,2.100077E+03,3.426460E-01,3.716199E+03,5.130619E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.591994E+03,2.237520E-01,2.415162E+03,3.604992E+03,1.688181E-01,7.062803E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.443916E+02,1.421488E-01,1.537838E+03,2.262741E+03,9.999437E-02,4.185377E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.591994E+03,2.187181E-01,2.358954E+03,3.549337E+03,1.689390E-01,7.066318E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.443916E+02,1.613159E-01,1.751846E+03,2.492816E+03,1.008802E-01,4.211095E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:27:00,7.586148E-02,2.102204E+03,3.424886E-01,3.712315E+03,5.126610E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.593607E+03,2.232998E-01,2.408500E+03,3.597849E+03,1.688185E-01,7.062812E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.453480E+02,1.418307E-01,1.533330E+03,2.257912E+03,9.999455E-02,4.185383E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.593607E+03,2.182750E-01,2.352395E+03,3.542283E+03,1.689394E-01,7.066327E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.453480E+02,1.608431E-01,1.745612E+03,2.486197E+03,1.008804E-01,4.211100E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:30:00,7.586148E-02,2.104331E+03,3.423318E-01,3.708437E+03,5.122606E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.595219E+03,2.228491E-01,2.401856E+03,3.590724E+03,1.688188E-01,7.062822E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.463044E+02,1.415138E-01,1.528836E+03,2.253097E+03,9.999473E-02,4.185388E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.595219E+03,2.178337E-01,2.345855E+03,3.535246E+03,1.689397E-01,7.066336E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.463044E+02,1.603735E-01,1.739412E+03,2.479612E+03,1.008806E-01,4.211105E+03,3.411443E-02,0.000000E+00,0.000000E+00
